FIT 2parpoly3
PLOT 2d
LOWER_LIMITS  0 0
UPPER_LIMITS  1000 500
REFIT_FILTER 5
DATA_UPPER_LIMIT  220
DATA_TYPE chisq
280 720 204.968415391884776
280 760 205.076552882070558
280 80 204.501805800615045
280 800 207.446202215233967
300 1 204.794384168192664
300 100 204.543248086793767
300 120 203.048424185368447
300 140 202.916402082879870
300 160 201.467190376168929
300 180 204.890899981481766
300 20 204.278791629501427
300 200 205.806536402393448
300 220 204.479180452687245
300 240 205.366813184209235
300 260 203.373345503036120
300 280 203.653498344439924
300 300 204.745057890100753
300 320 201.834958317666150
300 340 200.987201132089069
300 360 202.046465044709038
300 380 202.930084925669917
300 40 206.076267881922831
300 400 203.713527200803412
300 420 202.973766751672713
300 440 205.583790468847127
300 460 202.783104055468755
300 480 207.417849299723798
300 500 205.535459091559431
300 520 207.586434708785191
300 540 205.441335328779161
300 560 208.070966851229400
300 580 203.336330477317347
300 60 205.131688406597988
300 600 205.342721274245548
300 640 204.259557188608625
300 680 201.742340251142878
300 720 205.439985230494500
300 760 205.082840847175845
300 80 204.396295578619913
300 800 207.271738111156225
320 1 204.534919683930269
320 100 203.800568729028726
320 120 203.511316374822655
320 140 203.299638377302301
320 160 201.521868613237473
320 180 204.105760375309956
320 20 204.104813528947204
320 200 205.362772570876672
320 220 204.167569704345965
320 240 204.767027978064476
320 260 202.880792306603468
320 280 203.219776704433059
320 300 203.816799446844840
320 320 201.533691581914496
320 340 200.833208598808710
320 360 201.406359729931125
320 380 202.330241860616894
320 40 205.811925941639089
320 400 203.197813164023216
320 420 201.822440252935138
320 440 204.671679386867567
320 460 202.250667825411369
320 480 206.567117832164229
320 500 204.671822096125936
320 520 206.295871267417112
320 540 204.625755424890343
320 560 207.307343105826789
320 580 202.377010341933556
320 60 203.956315160507955
320 600 204.564599989772034
320 640 203.416678741526624
320 680 201.545214400785426
320 720 204.742058964445079
320 760 203.909123105709426
320 80 203.657916205755242
320 800 206.401436022793320
340 1 205.785267021574214
340 100 205.875103481965652
340 120 205.367220369532873
340 140 205.210028537259120
340 160 204.006650707839100
340 180 206.770512174339871
